"","day","prob"
"1",404,NA
"2",405,NA
"3",406,NA
"4",407,NA
"5",408,NA
"6",409,NA
"7",410,NA
"8",411,NA
"9",412,NA
"10",413,NA
"11",414,NA
"12",415,NA
"13",416,NA
"14",417,NA
"15",418,NA
"16",419,NA
"17",420,NA
"18",421,NA
"19",422,NA
"20",423,NA
"21",424,NA
"22",425,NA
"23",426,NA
"24",427,NA
"25",428,NA
"26",429,NA
"27",430,NA
"28",431,NA
"29",432,NA
"30",433,NA
"31",434,NA
"32",435,NA
"33",436,NA
"34",437,NA
"35",438,NA
"36",439,NA
"37",440,NA
"38",441,NA
"39",442,NA
"40",443,NA
"41",444,NA
"42",445,NA
"43",446,NA
"44",447,NA
"45",448,NA
"46",449,NA
"47",450,NA
"48",451,NA
"49",452,NA
"50",453,NA
"51",454,NA
"52",455,NA
"53",456,NA
"54",457,NA
"55",458,NA
"56",459,NA
"57",460,NA
"58",461,NA
"59",462,NA
"60",463,NA
"61",464,NA
"62",465,NA
"63",466,NA
"64",467,NA
"65",468,NA
"66",469,NA
"67",470,NA
"68",471,NA
"69",472,NA
"70",473,NA
"71",474,NA
"72",475,NA
"73",476,NA
"74",477,NA
"75",478,NA
"76",479,NA
"77",480,NA
"78",481,NA
"79",482,NA
"80",483,NA
"81",484,NA
"82",485,NA
"83",486,NA
"84",487,NA
"85",488,NA
"86",489,NA
"87",490,NA
"88",491,NA
"89",492,NA
"90",493,NA
"91",494,NA
"92",495,NA
"93",496,NA
"94",497,NA
"95",498,NA
"96",499,NA
"97",500,NA
"98",501,NA
"99",502,NA
"100",503,NA
"101",504,NA
"102",505,NA
"103",506,NA
"104",507,NA
"105",508,NA
"106",509,NA
"107",510,NA
"108",511,NA
"109",512,NA
"110",513,NA
"111",514,NA
"112",515,NA
"113",516,NA
"114",517,NA
"115",518,NA
"116",519,NA
"117",520,NA
"118",521,NA
"119",522,NA
"120",523,NA
"121",524,NA
"122",525,NA
"123",526,NA
"124",527,NA
"125",528,NA
"126",529,NA
"127",530,NA
"128",531,NA
"129",532,NA
"130",533,NA
"131",534,NA
"132",535,NA
"133",536,NA
"134",537,NA
"135",538,NA
"136",539,NA
"137",540,NA
"138",541,NA
"139",542,NA
"140",543,NA
"141",544,NA
"142",545,NA
"143",546,NA
"144",547,NA
"145",548,NA
"146",549,NA
"147",550,NA
"148",551,NA
"149",552,NA
"150",553,NA
"151",554,NA
"152",555,NA
"153",556,NA
"154",557,NA
"155",558,NA
"156",559,NA
"157",560,NA
"158",561,NA
"159",562,NA
"160",563,NA
"161",564,NA
"162",565,NA
"163",566,NA
"164",567,NA
"165",568,NA
"166",569,NA
"167",570,NA
"168",571,NA
"169",572,NA
"170",573,NA
"171",574,NA
"172",575,NA
"173",576,NA
"174",577,NA
"175",578,NA
"176",579,NA
"177",580,NA
"178",581,NA
"179",582,NA
"180",583,NA
"181",584,NA
"182",585,NA
"183",586,NA
"184",587,NA
"185",588,NA
"186",589,NA
"187",590,NA
"188",591,NA
"189",592,NA
"190",593,NA
"191",594,NA
"192",595,NA
"193",596,NA
"194",597,NA
"195",598,NA
"196",599,NA
"197",600,NA
